,mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,sample,KM,NKM,KMD,AKMD
CP0563,151.0431843,151.043164,151.0432195,136.015,134.624,137.873,127115.0255,127112.2406,69551.86719,69551,1,151.0528516,151,-0.052851638,0.947148362
CP2082,151.1125746,151.1125594,151.1126033,258.923,255.681,263.557,3964362.023,3922575.626,1768440.75,124,1,151.1222464,151,-0.122246387,0.877753613
CP1607,151.1125928,151.1125898,151.1125984,228.813,227.888,230.202,89709.152,89294.67892,63784.23047,26,1,151.1222646,151,-0.12226464,0.87773536
CP2993,151.1126311,151.1125763,151.1128652,363.658,361.339,365.049,82215.82817,80517.96491,55921.07422,12,1,151.1223029,151,-0.122302911,0.877697089
CP2053,152.1159538,152.1159112,152.1162001,258.923,257.07,261.703,345984.2761,345980.5697,190766.1719,190765,1,152.1256899,152,-0.125689853,0.874310147
CP0899,153.0320697,153.0319644,153.0320925,186.171,183.862,190.809,5045707.865,5041662.581,2354756.75,585,1,153.0418644,153,-0.041864397,0.958135603
CP5980,153.1280868,153.1275415,153.1281775,614.267,612.576,615.962,1656209.417,1656206.454,1150392.75,1150392,1,153.1378876,153,-0.137887576,0.862112424
CP5981,153.1282991,153.1281268,153.1284588,613.422,610.883,615.962,3142515.365,3142510.71,1669256.5,1669256,1,153.1380999,153,-0.138099889,0.861900111
CP1119,153.1283338,153.1281433,153.1284305,204.257,202.402,208.431,223623.0738,213945.4796,120124.7422,13,1,153.1381346,153,-0.138134622,0.861865378
CP2610,153.1283775,153.1281566,153.1284344,315.003,313.151,321.494,118959.4277,117671.8219,51977.15625,17,1,153.1381784,153,-0.13817837,0.86182163
CP7977,153.8682448,153.8682324,153.8682519,677.26,675.581,679.388,904501.594,895719.7145,502423.9063,18,1,153.878093,154,0.121907041,0.121907041
CP8072,153.8683526,153.8682424,153.8685134,677.26,675.581,680.683,1305233.154,1305228.902,502423.9063,279944,1,153.8782008,154,0.121799183,0.121799183
CP6272,153.9918656,153.9917203,153.9921011,602.844,599.87,604.962,3033485.71,3033480.193,771972.125,771971,1,154.0017218,154,-0.001721752,0.998278248
CP6271,153.9918821,153.9917367,153.9920931,615.537,609.198,622.305,9623963.802,9623950.273,1126022.875,1126022,1,154.0017382,154,-0.001738189,0.998261811
CP6270,153.9919529,153.9917635,153.9921012,590.461,589.603,593.457,2487112.044,2487107.762,947867.9375,947867,1,154.001809,154,-0.001808995,0.998191005
CP0831,154.0354004,154.035398,154.0354032,186.171,184.792,188.021,130519.0738,130516.7674,76264.63281,76264,1,154.0452593,154,-0.045259281,0.954740719
CP0516,154.9984454,154.9982292,154.9985246,103.41,100.139,107.137,1489455.926,1489449.395,530415.0625,530414,1,155.0083659,155,-0.008365923,0.991634077
CP2302,155.1440053,155.143982,155.1442728,280.238,277.457,287.655,285455.8585,280152.9661,86197.70313,14,1,155.1539352,155,-0.153935185,0.846064815
CP8189,155.8739362,155.8739217,155.8739527,681.553,678.533,682.862,718502.8631,715240.2161,374801.3438,32,1,155.8839128,156,0.116087217,0.116087217
CP1062,156.1027959,156.1025655,156.1028632,200.548,199.159,203.329,144429.0377,142523.3668,78531.76563,20,1,156.1127872,156,-0.112787161,0.887212839
CP1285,156.8946875,156.8944159,156.8948339,63.8987,61.3726,71.2956,2981634.949,2324681.482,1137391.25,41,1,156.9047294,157,0.095270644,1.095270644
